age,brexit
40,1
27,1
82,1
69,1
31,1
39,1
72,1
25,1
28,1
55,1
66,1
36,1
60,1
62,1
32,1
68,1
73,1
70,1
69,1
62,1
64,1
55,1
69,1
26,1
76,1
26,1
76,1
76,1
56,1
62,1
64,1
32,1
60,1
69,1
41,1
60,1
44,1
50,1
28,1
18,1
47,1
33,1
80,1
45,1
63,1
66,1
59,1
55,1
53,1
55,1
67,1
55,1
85,1
45,1
22,1
42,1
45,1
24,1
33,1
53,1
39,1
82,1
42,1
54,1
59,1
21,1
38,1
65,1
47,1
60,1
62,1
23,1
45,1
65,1
21,1
56,1
55,1
63,1
62,1
41,1
86,1
30,1
64,1
84,1
51,1
22,1
50,1
80,1
50,1
71,1
61,1
38,1
74,1
19,1
49,1
33,1
80,1
21,1
24,1
79,1
24,1
75,1
52,1
24,1
40,1
35,1
39,1
29,1
78,1
47,1
35,1
40,1
28,1
29,1
18,1
32,1
38,1
54,1
25,1
20,1
23,1
51,1
55,1
53,1
65,1
32,1
45,1
30,1
19,1
43,1
23,1
25,1
84,1
44,1
42,1
34,1
45,1
50,1
28,1
58,1
65,1
29,1
33,1
24,1
52,1
24,1
63,1
40,1
43,1
23,1
51,1
43,1
52,1
35,1
42,1
23,1
59,1
25,1
41,1
73,1
53,1
27,1
27,1
19,1
39,1
50,1
20,1
41,1
42,1
29,1
20,1
52,1
51,1
23,1
64,1
31,1
39,1
64,1
62,1
61,1
43,1
58,1
34,1
39,1
68,1
38,1
45,1
55,1
81,1
75,1
31,1
30,1
30,1
33,1
28,1
24,1
18,1
20,1
40,1
19,1
36,1
33,1
69,1
47,1
46,1
47,1
65,1
40,1
79,1
37,1
43,1
66,1
35,1
39,1
44,1
40,1
72,1
70,1
67,1
37,1
67,1
39,1
71,2
60,2
74,2
61,2
47,2
56,2
76,2
35,2
44,2
38,2
24,2
53,2
79,2
64,2
51,2
31,2
65,2
28,2
31,2
21,2
36,2
49,2
64,2
49,2
56,2
69,2
50,2
51,2
51,2
60,2
55,2
19,2
70,2
23,2
47,2
64,2
27,2
21,2
59,2
61,2
47,2
22,2
68,2
30,2
24,2
46,2
65,2
70,2
78,2
43,2
40,2
59,2
33,2
62,2
67,2
30,2
83,2
35,2
45,2
76,2
27,2
56,2
73,2
74,2
70,2
69,2
31,2
50,2
60,2
57,2
33,2
30,2
76,2
56,2
25,2
32,2
55,2
35,2
48,2
38,2
58,2
60,2
71,2
83,2
65,2
62,2
32,2
51,2
62,2
49,2
45,2
71,2
75,2
56,2
41,2
20,2
42,2
33,2
59,2
89,2
20,2
78,2
41,2
69,2
24,2
36,2
60,2
59,2
36,2
57,2
36,2
41,2
25,2
73,2
19,2
44,2
42,2
50,2
58,2
27,2
50,2
56,2
88,2
35,2
56,2
41,2
29,2
57,2
27,2
62,2
31,2
57,2
21,2
68,2
50,2
48,2
68,2
49,2
34,2
58,2
52,2
53,2
68,2
60,2
37,2
31,2
54,2
56,2
66,2
37,2
22,2
65,2
26,2
20,2
27,2
52,2
49,2
91,2
69,2
27,2
79,2
53,2
70,2
29,2
23,2
25,2
63,2
21,2
33,2
68,2
59,2
62,2
53,2
71,2
50,2
80,2
63,2
54,2
72,2
59,2
31,2
58,2
58,2
72,2
73,2
44,2
20,2
41,2
41,2
63,2
34,2
73,2
55,2
70,2
27,2
50,2
59,2
24,2
35,2
79,2
59,2
40,2
73,2
68,2
23,2
34,2
49,2
63,2
55,2
34,2
36,2
40,2
52,2
69,2
45,2
71,2
62,2
64,2
43,2
74,2
72,2
54,2
45,2
63,2
72,2
68,2
27,2
48,2
40,2
80,2
50,2
23,2
35,2
79,2
43,2
31,2
28,2
81,2
57,2
66,2
59,2
71,2
46,2
60,2
78,2
80,2
60,2
24,2
53,2
58,2
61,2
74,2
70,2
75,2
52,2
76,2
65,2
69,2
34,2
73,2
45,2
61,2
71,2
55,2
33,2
77,2
55,2
58,2
54,2
20,2
68,2
62,2
70,2
28,2
66,2
23,2
68,2
42,2
44,2
61,2
54,2
42,2
72,2
70,2
67,2
27,2
47,2
53,2
67,2
64,2
43,2
44,2
75,2
73,2
74,2
74,2
23,2
29,2
53,2
18,2
62,2
74,2
35,2
48,2
36,2
58,2
41,2
33,2
71,2
45,2
60,2
67,2
54,2
89,2
43,2
58,2
20,2
69,2
86,2
65,2
19,2
23,2
45,2
19,2
53,2
29,2
30,2
80,2
74,2
75,2
80,2
64,2
23,2
36,2
64,2
57,2
67,2
75,2
44,2
57,2
63,2
66,2
79,2
59,2
66,2
44,2
68,2
75,2
24,2
67,2
28,2
37,2
39,2
37,2
55,2
45,2
50,2
80,2
19,2
59,2
26,2
75,2
89,2
70,2
42,2
52,2
36,2
54,2
64,2
71,2
69,2
68,2
82,2
73,2
43,2
69,2
34,2
35,2
55,2
55,2
78,2
25,2
83,2
39,2
27,2
47,2
28,2
33,2
65,2
38,2
37,2
56,2
79,2
55,2
51,2
18,2
46,2
72,2
73,2
45,2
30,2
51,2
71,2
72,2
32,2
39,2
20,2
48,2
81,2
71,2
59,2
18,2
45,2
49,2
56,2
37,2
53,2
47,2
54,2
25,2
27,2
46,2
43,2
55,2
36,2
35,2
37,2
64,2
57,2
76,2
54,2
58,2
67,2
62,2
44,2
59,2
50,2
68,2
42,2
32,2
31,2
42,2
70,2
28,2
40,2
65,2
50,2
29,2
44,2
46,2
70,2
31,2
69,2
43,2
69,2
22,2
38,2
60,2
23,2
29,2
56,2
68,2
74,2
69,2
78,2
64,2
29,2
62,2
76,2
62,2
43,2
43,2
60,2
43,2
78,2
60,2
65,2
63,2
38,2
84,2
72,2
74,2
50,2
32,2
46,2
21,2
37,2
63,2
27,2
45,2
38,2
63,2
92,2
50,2
56,2
53,2
57,2
64,2
48,2
51,2
57,2
64,2
80,2
72,2
92,2
68,2
49,2
33,2
23,2
35,2
54,2
34,2
43,2
45,2
70,2
44,2
44,2
38,2
54,2
55,2
46,2
74,2
35,2
21,2
26,2
41,2
57,2
56,2
40,2
51,2
62,2
52,2
35,2
57,2
60,2
28,2
54,2
18,2
20,2
40,2
31,2
