bedrooms,floors,zipcode,sqft_living,price
3,2.0,98119,2140,940.0
5,1.5,98092,2660,305.0
3,2.0,98056,2770,461.0
2,2.0,98056,1610,215.0
2,2.0,98136,1030,335.0
4,2.0,98023,1980,243.5
5,2.0,98199,3520,1099.88
3,1.0,98023,1200,153.0
3,1.0,98117,1580,430.0
3,1.0,98117,1580,700.0
4,1.0,98040,3300,905.0
3,1.0,98032,1960,247.5
4,1.0,98023,1160,199.0
3,1.0,98038,1810,314.0
3,2.0,98045,2320,437.5
3,1.5,98102,2070,850.83
3,1.5,98117,1980,555.0
3,2.0,98077,2190,699.95
3,2.0,98004,2920,1088.0
3,1.0,98058,1210,290.0
3,1.0,98058,2340,375.0
3,1.5,98117,1670,460.0
2,1.0,98198,1240,188.5
4,2.0,98077,3140,680.0
5,2.0,98052,2030,470.0
4,2.0,98027,2310,597.75
3,1.0,98103,1260,570.0
3,1.0,98038,1540,272.5
3,1.0,98108,2080,329.95
4,2.0,98001,3230,480.0
3,2.0,98117,4380,740.5
3,3.0,98103,1590,518.5
2,1.0,98178,880,205.425
4,1.0,98168,1570,171.8
4,1.5,98144,1610,535.0
3,1.0,98177,2400,660.0
3,1.0,98034,1450,391.5
2,1.0,98117,770,395.0
4,1.5,98118,2100,445.0
3,2.0,98052,2910,770.0
4,1.5,98004,2750,1450.0
3,1.0,98178,2100,445.0
4,1.0,98023,2160,260.0
5,2.0,98103,2320,822.5
4,2.0,98065,2070,430.0
3,1.0,98092,1060,212.0
4,1.0,98027,2010,660.5
3,1.5,98052,3950,784.0
3,2.0,98029,2010,453.246
4,3.0,98107,2140,675.0
3,1.0,98003,1320,199.0
4,1.0,98003,2020,220.0
4,1.0,98028,2590,452.0
2,1.0,98125,1190,382.5
3,3.0,98107,1170,519.95
2,1.0,98119,1110,665.0
5,1.0,98006,2820,527.7
3,1.0,98058,1610,205.0
3,1.0,98133,1060,420.0
4,1.0,98006,2030,500.0
4,2.0,98077,3670,921.5
4,2.0,98109,2550,890.0
2,2.0,98027,2420,430.0
5,1.0,98032,2260,258.0
3,1.0,98103,1430,511.0
3,2.0,98103,1360,532.17
3,1.5,98107,1110,560.0
3,1.0,98003,1250,282.95
4,2.0,98006,5180,2250.0
1,1.0,98115,700,350.0
3,1.0,98058,1180,215.0
5,2.0,98056,3960,650.0
4,1.0,98023,2640,320.0
3,1.5,98022,1270,247.0
4,1.0,98059,1760,320.0
5,1.0,98146,2060,255.0
3,1.0,98034,1780,438.0
3,2.0,98075,3400,900.0
3,1.0,98034,1910,441.0
3,1.0,98027,2020,420.0
3,1.0,98034,1580,370.0
2,1.0,98198,1340,269.95
4,2.0,98006,2680,807.1
3,1.0,98034,2680,653.0
3,1.0,98133,1370,371.5
3,1.0,98166,1560,284.0
3,1.0,98023,2160,272.0
3,1.5,98133,1340,313.0
4,2.0,98033,3880,917.5
4,2.0,98006,2590,673.0
3,2.0,98122,1120,425.0
5,1.0,98144,1970,399.95
3,1.0,98122,1220,385.0
3,1.0,98022,1950,269.95
2,1.0,98177,1350,330.0
3,2.0,98030,1670,260.0
4,1.5,98126,2380,470.0
4,2.0,98034,2440,589.0
2,2.0,98038,1050,163.5
4,2.0,98052,3130,835.0
5,1.0,98033,4090,1095.0
4,1.0,98023,1490,269.0
3,2.0,98074,1900,560.0
4,1.5,98103,1330,615.0
3,1.0,98052,2230,585.188
3,1.0,98034,1650,305.0
3,1.0,98058,1190,166.95
3,1.0,98040,2140,799.0
3,1.0,98133,2180,400.0
3,1.0,98155,1060,230.0
3,2.0,98023,1690,256.883
4,1.5,98108,1970,423.0
3,2.0,98126,2150,465.0
3,2.0,98024,1910,440.0
3,1.0,98038,1350,385.0
3,1.0,98056,860,210.0
3,2.0,98042,1940,297.0
3,1.0,98107,1010,470.0
3,1.0,98023,1300,226.5
3,1.0,98059,910,274.25
4,1.0,98040,2480,840.0
3,2.0,98052,2440,677.9
3,1.0,98116,1010,425.0
2,1.0,98166,900,180.25
6,2.0,98133,2300,464.0
4,2.0,98038,1550,320.0
3,2.0,98105,1270,625.504
4,1.0,98074,2240,592.5
3,2.0,98001,2714,465.0
4,2.0,98118,1720,477.0
2,1.0,98168,850,280.0
5,1.0,98040,3300,1505.0
3,2.0,98146,2250,445.838
2,1.0,98144,3900,1072.0
2,1.0,98177,1320,467.0
4,2.0,98075,2760,686.0
3,1.0,98198,1750,279.95
4,2.0,98011,2330,527.0
3,1.0,98030,2220,325.0
3,2.0,98038,2020,328.0
3,1.0,98146,1250,390.0
2,1.0,98053,1510,479.95
4,1.0,98023,1720,264.95
3,1.0,98031,1430,235.0
3,2.0,98053,1480,516.5
2,2.0,98166,1450,655.0
4,1.0,98059,2280,500.0
6,1.0,98023,2940,315.0
2,1.0,98024,1000,213.0
3,1.5,98108,2480,475.0
5,2.0,98033,3760,1025.0
3,1.0,98010,2220,416.0
4,1.5,98122,1970,410.0
3,2.0,98077,3830,800.0
6,1.0,98003,4410,472.0
3,1.0,98003,1430,225.0
2,1.0,98126,830,210.0
2,1.5,98115,1430,455.0
3,1.0,98002,1300,225.0
2,1.0,98103,1030,480.0
3,2.0,98023,2740,363.0
4,1.0,98074,3650,2400.0
2,1.0,98106,720,181.0
4,1.0,98002,2010,250.0
3,1.0,98103,1560,481.0
3,1.0,98032,1810,260.0
4,2.0,98058,3360,455.0
3,2.0,98045,1510,415.0
3,1.0,98118,1400,349.5
3,2.0,98030,1730,245.0
2,1.5,98115,1420,592.5
4,1.0,98106,2360,385.0
3,1.0,98059,1580,315.0
3,1.0,98045,1230,255.0
4,2.0,98052,2460,693.0
3,1.5,98112,1660,780.0
3,1.0,98198,1270,237.0
3,2.0,98074,2100,525.0
2,1.0,98144,770,425.0
1,1.0,98070,760,369.9
4,2.0,98031,1700,290.0
3,1.0,98106,1120,285.0
2,1.0,98115,1070,415.0
3,1.0,98023,2070,272.5
4,1.5,98004,5050,2900.0
4,2.0,98077,5310,1365.0
2,1.0,98133,1040,436.0
3,1.0,98003,1700,210.0
3,1.0,98178,1300,236.0
3,1.0,98199,1080,331.0
3,2.0,98031,2653,365.0
3,1.0,98058,2290,450.0
4,2.0,98028,3820,770.0
4,1.0,98038,2210,455.0
3,1.0,98118,2390,405.0
4,1.0,98031,2600,304.9
2,1.0,98178,860,170.0
5,2.0,98122,3830,2050.0
4,2.0,98053,3500,780.0
3,1.0,98028,2420,330.0
4,2.0,98030,2720,370.0
5,1.0,98072,2500,467.0
3,1.0,98034,1670,405.0
5,1.0,98006,2900,675.0
2,1.0,98006,1640,500.0
4,2.0,98166,1890,389.999
4,1.0,98034,2950,630.0
4,2.0,98001,2160,360.0
4,2.0,98056,3280,580.0
3,2.0,98126,1970,550.0
4,2.0,98075,3360,879.0
3,1.0,98042,1320,265.0
3,2.0,98059,2650,446.5
3,1.0,98108,2030,404.0
3,1.0,98188,1590,267.5
4,1.0,98074,4550,3075.0
3,2.0,98003,2440,335.0
3,1.0,98117,1940,576.0
3,2.0,98038,2040,208.633
3,1.0,98166,2200,315.0
3,1.0,98112,1920,725.0
4,1.0,98177,1800,550.0
4,2.0,98074,2180,610.75
2,1.5,98105,1010,550.7
4,2.0,98056,3320,665.0
4,1.5,98144,2370,834.0
5,1.5,98065,1660,201.0
5,2.0,98119,3650,2384.0
4,1.0,98006,4290,1384.0
4,1.0,98006,4290,1400.0
4,1.0,98058,1950,305.0
3,1.0,98133,2590,487.0
3,1.0,98042,1930,390.0
2,1.0,98103,1470,548.0
4,1.0,98166,800,268.75
5,2.0,98052,3150,819.9
3,2.0,98027,2030,520.0
3,1.0,98001,1450,230.0
3,1.0,98023,1510,240.0
2,1.0,98146,1240,232.0
2,1.0,98146,1240,240.5
3,2.0,98077,3030,274.975
4,1.5,98102,2050,740.0
3,1.0,98166,1000,186.375
3,1.0,98005,2370,790.0
4,2.0,98105,2800,880.0
6,2.0,98198,2240,279.0
3,1.0,98022,1810,295.0
2,1.0,98103,1070,640.0
4,2.0,98040,2490,940.0
4,2.0,98038,1960,260.0
3,1.0,98072,2930,559.9
4,1.5,98103,1510,791.5
3,1.0,98133,1420,265.0
3,1.0,98178,1740,245.0
4,2.0,98052,2560,485.0
4,2.0,98059,3040,684.0
3,1.0,98125,2500,425.0
4,1.0,98070,1275,309.6
4,2.0,98065,2580,552.25
4,1.0,98178,1000,165.0
4,1.0,98178,1000,239.9
2,1.0,98059,1070,320.0
3,1.0,98030,1390,206.6
4,1.0,98155,2500,387.0
1,1.0,98014,560,299.0
4,2.0,98040,2270,855.0
3,1.0,98166,1900,315.0
2,1.0,98103,990,437.5
4,1.0,98001,1550,252.0
4,1.0,98118,2200,375.0
4,2.0,98038,1910,300.0
4,1.5,98006,1750,420.0
3,1.0,98033,1330,900.0
3,2.0,98116,2440,679.9
3,2.0,98053,1640,463.0
5,2.0,98059,2760,380.0
4,2.0,98038,1820,329.5
3,1.0,98033,2110,604.95
5,1.0,98006,3040,795.0
3,2.0,98045,1840,465.0
4,2.0,98166,2990,673.0
4,2.0,98074,3520,810.0
4,1.0,98075,2440,785.0
4,1.0,98056,2090,338.0
3,2.0,98056,1430,280.0
4,1.0,98133,2180,315.0
4,1.0,98133,2180,530.0
5,2.0,98023,3450,380.0
3,2.0,98056,1450,297.0
4,2.0,98075,3230,730.0
3,1.0,98125,1640,450.0
3,1.0,98038,1590,275.0
4,2.0,98115,2020,595.0
3,1.5,98144,1300,435.0
2,1.0,98011,1380,270.0
3,2.0,98077,4040,950.0
4,2.0,98019,2130,389.0
4,1.0,98052,2550,560.0
5,2.0,98006,4800,1350.0
4,2.0,98040,2510,799.0
3,1.0,98072,1410,365.5
3,1.0,98058,1650,252.35
4,2.0,98146,2120,403.95
4,1.0,98177,2040,385.0
4,1.5,98106,1550,345.0
3,2.0,98008,1980,490.0
3,2.0,98019,1600,330.0
4,2.0,98004,3300,927.0
4,2.0,98040,3840,1118.0
2,1.0,98028,1220,330.0
5,1.0,98008,2720,530.0
4,1.0,98006,1940,365.0
3,1.5,98118,2160,378.75
4,1.5,98058,1530,269.9
3,2.0,98122,1710,557.0
4,1.0,98022,3730,360.0
2,1.0,98117,940,352.0
3,2.0,98045,1750,437.0
4,2.0,98038,1820,322.5
3,2.0,98116,1510,650.0
3,3.0,98103,1290,450.0
3,1.0,98092,1570,278.5
4,2.0,98055,1930,364.95
4,1.0,98038,2840,840.0
3,2.0,98031,1550,268.0
2,1.0,98070,833,517.534
3,2.0,98077,2990,632.925
3,2.0,98034,2000,577.5
4,1.5,98178,2390,339.0
3,1.0,98052,2910,570.0
4,1.0,98024,2085,563.5
4,1.0,98133,2200,423.0
3,2.0,98019,1860,355.0
5,2.0,98024,6070,1550.0
2,1.0,98103,950,482.0
3,1.0,98006,1600,625.0
3,2.0,98056,2250,538.0
3,2.0,98058,2280,380.0
2,1.0,98122,940,375.0
3,1.0,98038,1530,245.0
5,1.0,98166,2190,310.0
3,1.0,98004,2350,1300.0
4,1.0,98034,1440,397.0
3,2.0,98058,2200,365.0
4,2.0,98042,2290,328.5
4,2.0,98052,4040,988.0
4,1.5,98103,2610,1000.0
3,2.0,98055,1490,237.0
4,2.0,98011,2450,525.0
4,1.0,98006,1710,749.0
5,2.0,98074,4870,722.5
3,2.0,98052,3130,843.0
2,3.0,98115,1270,438.0
3,1.0,98146,2120,578.0
3,1.0,98001,1670,227.95
3,2.0,98001,2070,196.0
2,1.0,98105,1420,641.0
3,1.0,98038,1250,350.0
3,1.0,98032,940,205.0
3,1.0,98072,1920,400.0
3,1.0,98027,3545,1030.0
3,1.0,98034,1260,505.0
5,1.0,98034,2340,475.0
3,1.0,98028,2590,520.0
3,2.0,98034,3970,1450.0
3,1.0,98011,1220,333.5
3,1.0,98038,1400,232.0
3,1.0,98006,2360,691.1
3,1.0,98040,1870,811.0
3,2.0,98028,2830,551.0
3,2.0,98072,2260,496.5
3,2.0,98070,1970,705.0
4,1.0,98055,3140,578.0
3,1.0,98042,1240,255.0
4,2.0,98006,3450,1050.0
3,2.0,98042,2570,348.0
3,2.0,98031,1510,230.0
4,2.0,98023,2390,359.5
3,1.0,98133,980,330.0
1,1.0,98014,430,80.0
3,1.0,98133,1480,465.0
4,2.0,98042,1850,325.0
3,1.0,98168,2270,340.5
3,2.0,98038,1810,342.5
2,2.0,98178,1610,290.9
3,2.0,98074,3840,868.7
4,2.0,98125,4110,1199.0
4,2.0,98074,4190,1150.0
4,2.0,98074,3390,859.9
4,2.0,98029,1890,520.0
3,2.0,98118,1610,460.0
3,1.0,98115,1050,438.924
2,1.0,98126,630,315.0
4,1.0,98033,2910,590.0
4,1.0,98006,1700,378.5
3,2.0,98042,1950,328.5
3,2.0,98005,2990,849.95
3,1.0,98136,1350,525.0
4,2.5,98074,4860,1385.0
4,1.0,98023,2160,295.0
6,2.0,98006,4860,1067.0
2,1.0,98118,890,207.95
4,2.0,98075,2810,699.9
5,2.0,98027,3400,1280.0
4,1.0,98052,1580,452.0
3,1.0,98055,1680,370.0
3,1.0,98042,1300,232.0
5,2.0,98034,2820,669.95
3,1.0,98034,1510,397.5
2,2.0,98112,1230,490.0
4,2.0,98116,2110,725.0
3,1.0,98032,3080,299.0
2,1.5,98116,1490,625.0
3,2.0,98065,2120,437.5
4,2.0,98065,3180,650.0
2,1.0,98117,1490,475.0
3,1.0,98042,1930,342.0
4,2.0,98033,2770,1197.35
3,1.0,98055,1670,280.0
2,1.0,98188,1330,240.0
3,1.5,98107,1210,529.0
3,1.0,98136,1190,442.0
2,1.0,98119,1540,615.0
4,2.0,98033,4030,1485.0
4,1.0,98052,2430,585.0
4,2.0,98059,2600,480.0
5,2.0,98053,4410,1095.0
4,1.5,98133,1330,290.0
3,1.0,98116,1900,615.0
2,1.0,98133,1100,300.0
3,1.5,98030,1980,308.0
3,2.0,98033,2400,750.0
4,2.5,98112,4760,2250.0
4,2.0,98059,3180,890.0
3,1.0,98058,1190,288.0
2,1.0,98178,630,190.0
5,1.0,98133,2530,515.0
4,1.0,98055,1690,235.0
2,1.0,98126,940,275.0
2,1.0,98004,1240,727.5
4,2.0,98053,3040,650.0
6,2.0,98024,6050,1600.0
4,1.5,98125,1590,365.0
3,1.0,98052,2500,662.0
3,1.0,98038,1780,270.5
2,2.0,98092,1360,200.0
4,2.0,98075,4740,970.0
3,1.0,98198,1010,160.0
3,1.0,98010,1040,204.0
3,2.0,98058,1610,358.0
4,1.0,98011,1570,452.0
2,1.0,98103,1510,595.0
3,1.0,98042,1360,249.0
4,2.0,98055,1970,346.9
3,2.0,98166,5403,2125.0
4,2.0,98056,1560,280.0
4,1.0,98032,2320,318.888
3,1.0,98075,2120,530.0
3,2.0,98031,2120,375.0
4,2.0,98052,3350,910.0
4,2.0,98006,2380,782.0
2,2.0,98106,1070,259.95
4,1.0,98058,2300,315.0
2,1.0,98168,1320,215.0
3,1.0,98040,2180,705.0
3,2.0,98199,4380,1450.0
3,2.0,98155,1790,451.0
2,1.0,98055,750,261.0
3,1.0,98028,1300,396.0
4,2.0,98059,2990,725.0
7,2.0,98040,4640,1950.0
4,1.5,98188,1400,238.0
6,2.0,98052,2750,750.0
4,2.0,98042,2050,331.5
4,1.0,98065,2230,460.0
4,1.0,98092,2340,404.95
3,2.0,98103,2870,880.0
4,2.0,98074,4120,863.0
3,1.0,98005,2080,638.7
3,2.0,98053,1840,435.0
3,1.5,98178,1180,260.0
5,1.5,98105,2160,671.5
3,1.5,98109,1180,610.0
2,1.0,98014,1160,405.0
4,2.0,98038,1830,338.9
4,2.0,98075,3200,720.0
5,1.5,98108,2560,442.0
5,1.5,98122,2550,650.0
3,1.0,98058,1330,263.5
2,1.0,98038,1220,300.0
3,2.0,98002,1805,266.0
4,2.5,98077,6050,930.0
4,2.0,98028,2320,530.0
3,1.0,98023,1384,180.0
3,2.0,98065,2720,619.0
3,1.0,98003,1820,264.0
2,1.5,98116,2130,730.0
4,2.0,98034,2060,439.0
4,1.0,98031,1420,268.5
3,1.0,98045,1510,330.0
3,1.5,98122,2160,640.0
3,2.0,98074,3180,900.0
3,2.0,98038,2110,370.0
3,1.5,98144,2060,685.0
3,1.0,98053,1830,505.0
3,1.0,98022,1820,265.0
3,2.0,98055,1610,290.0
4,2.0,98038,1780,296.0
4,2.0,98178,1840,360.0
3,1.0,98168,1460,240.5
2,2.0,98126,1400,372.5
3,2.0,98045,3370,595.0
4,2.0,98023,3590,515.0
4,2.0,98040,3200,1220.0
2,1.0,98053,1670,507.0
4,1.0,98092,2420,399.95
3,2.0,98010,1430,185.0
3,1.0,98052,1440,460.0
3,2.0,98029,1450,435.5
4,1.0,98188,3550,469.0
2,2.0,98103,1270,531.0
2,1.0,98177,940,443.5
3,1.0,98042,1670,223.0
4,2.0,98028,3100,590.0
2,3.0,98103,1100,340.0
3,1.0,98199,1870,650.0
3,2.0,98029,1930,533.6
3,2.0,98074,2540,695.0
3,1.5,98031,1280,242.0
3,1.0,98125,1820,425.0
3,2.0,98052,1490,525.0
3,2.0,98029,1880,485.0
3,1.0,98045,1250,175.0
3,1.0,98092,1440,210.0
3,2.0,98031,1920,260.0
3,1.0,98116,2060,577.0
3,1.0,98002,1210,200.0
2,1.0,98117,1760,605.0
3,1.0,98133,990,325.0
3,1.0,98178,960,289.5
3,3.0,98144,1660,559.95
3,1.0,98115,1900,1042.5
3,1.0,98199,1270,543.5
4,2.0,98042,3250,480.0
3,1.0,98022,960,218.0
2,1.0,98199,1330,565.0
3,1.0,98056,2080,426.7
3,1.0,98028,2690,650.0
2,1.0,98105,890,542.0
3,1.0,98052,1070,415.0
3,1.0,98002,1200,214.0
3,2.0,98188,1360,245.0
3,1.0,98003,2050,314.5
3,2.0,98116,3000,1120.0
2,1.0,98136,1300,378.0
4,1.0,98001,2250,305.0
5,1.0,98028,3740,595.0
3,3.0,98116,1660,729.5
3,2.0,98065,2360,430.0
3,1.0,98038,1760,240.0
3,1.5,98136,1680,545.0
3,1.0,98105,1320,530.0
1,1.0,98198,870,157.0
4,1.5,98146,1260,425.0
3,1.0,98166,1000,220.0
4,1.0,98077,2020,521.0
3,1.0,98118,1920,325.0
3,1.5,98126,2150,597.5
3,2.0,98065,1470,337.0
3,2.0,98052,3180,1000.0
3,1.0,98034,3930,3070.0
3,1.0,98105,990,495.0
4,2.0,98052,2770,748.0
3,1.0,98004,1250,888.0
3,1.0,98045,1140,269.9
4,1.0,98027,2250,496.5
3,2.0,98155,1640,475.0
3,3.0,98125,1255,312.0
3,1.0,98072,1290,323.0
3,1.0,98059,1300,331.0
3,3.0,98133,1220,306.0
4,3.0,98117,2630,655.0
3,1.0,98003,1950,290.0
4,2.0,98105,3160,1250.0
3,1.0,98115,1550,460.0
4,1.0,98115,1700,435.0
4,1.0,98006,2510,664.0
4,2.0,98102,1800,865.0
3,1.0,98058,1800,385.0
3,1.0,98034,1870,497.0
2,1.0,98045,1010,280.0
2,1.0,98178,1120,188.0
3,1.0,98136,2090,478.5
4,2.0,98065,4370,1145.0
3,1.0,98023,1440,222.0
4,2.0,98053,2580,799.0
4,2.0,98038,3190,609.9
4,2.0,98106,2380,413.0
4,1.5,98115,1420,400.0
5,2.0,98006,2990,802.541
3,2.0,98023,2680,320.0
4,2.0,98065,2730,507.0
3,1.0,98115,1220,387.5
3,1.0,98072,1500,396.0
3,1.0,98055,1830,373.0
5,2.0,98040,4570,1484.9
4,2.0,98058,2470,359.9
2,1.0,98115,800,410.0
4,2.0,98053,2900,690.0
3,1.0,98030,1410,245.0
5,1.0,98075,2830,700.0
4,1.0,98198,1680,268.0
3,1.0,98042,1760,225.0
4,2.0,98004,2240,980.0
2,1.5,98106,1380,795.0
2,1.0,98118,820,195.0
4,1.0,98005,2180,480.0
4,1.0,98119,1400,485.0
2,1.0,98188,880,130.0
2,1.0,98198,1060,325.0
3,1.0,98034,1530,440.0
4,1.0,98155,2480,550.0
3,1.0,98059,1490,310.0
3,2.0,98022,3660,530.0
4,2.0,98031,2340,390.0
3,1.0,98001,1450,243.0
4,2.0,98074,2210,639.0
4,1.0,98003,1130,215.0
5,1.0,98011,1550,405.0
4,1.0,98032,1710,250.0
3,1.0,98155,1010,405.5
6,2.0,98125,2660,452.0
6,2.0,98125,2660,730.0
3,1.0,98010,1300,267.0
3,2.0,98038,1670,289.95
2,1.0,98103,960,565.0
4,2.0,98005,4670,1578.0
3,2.0,98052,2140,636.0
5,1.0,98178,2520,350.0
3,1.0,98058,1650,320.0
2,1.0,98198,1440,210.0
2,1.0,98126,1050,245.0
3,1.0,98059,1470,328.0
4,2.0,98077,4230,985.0
3,1.0,98055,1970,501.0
3,2.0,98045,1540,315.0
3,2.0,98019,2090,403.0
3,2.0,98155,2380,550.0
4,2.0,98030,2156,347.5
4,2.0,98058,2070,365.0
3,1.0,98117,1910,588.0
3,1.0,98006,1920,605.0
3,2.0,98105,3400,1300.0
3,1.0,98001,1400,233.0
4,2.0,98030,2210,360.0
2,1.0,98117,1170,459.0
3,1.0,98077,2100,740.0
3,1.0,98077,1160,305.0
3,1.0,98117,1500,395.0
4,2.0,98011,2940,560.0
4,1.0,98116,2010,650.0
3,2.0,98028,2170,449.95
3,1.0,98117,1430,517.5
4,1.0,98034,1510,435.0
3,1.0,98155,1150,329.999
3,1.0,98116,2150,950.0
3,1.0,98108,1370,447.0
2,1.0,98053,2380,699.8
3,1.0,98112,1370,850.0
3,1.0,98023,1600,316.5
5,1.0,98006,3750,942.5
2,2.0,98116,3950,1310.0
4,1.0,98005,2400,856.6
5,2.5,98118,2830,405.6
4,2.0,98053,2440,565.0
3,2.0,98116,1190,400.0
3,1.0,98019,1400,330.0
4,2.0,98038,2730,374.95
3,1.0,98056,2390,405.3
3,2.0,98074,2060,560.0
4,1.0,98004,2490,824.0
3,1.0,98042,1100,260.0
4,1.0,98115,2430,760.0
3,2.0,98023,3170,405.0
4,2.0,98058,2640,429.9
3,1.0,98056,1130,341.5
5,1.5,98177,1940,465.25
2,1.5,98117,1100,450.0
3,1.0,98006,1200,390.0
3,1.0,98008,2000,420.0
3,2.0,98168,1890,269.95
4,1.0,98122,1910,493.0
4,2.0,98092,2710,370.0
5,1.5,98112,4860,2250.0
3,1.0,98059,1250,305.0
3,1.5,98034,1590,400.0
3,2.0,98133,1240,320.0
4,2.0,98103,2000,715.0
6,1.5,98008,3610,650.0
5,1.0,98023,1930,218.0
2,1.0,98117,1280,500.0
4,1.0,98027,2090,460.0
3,1.0,98003,1940,232.5
3,2.0,98106,1800,408.2
3,1.0,98052,1730,522.0
4,2.0,98074,2810,675.0
4,1.0,98006,3550,1355.0
4,1.5,98168,1330,249.95
2,1.0,98168,750,210.0
4,1.0,98133,1760,429.95
4,2.0,98053,3200,737.5
4,1.0,98033,1740,710.0
3,2.0,98065,2100,470.0
4,1.0,98077,4270,1100.0
3,1.5,98103,1340,650.0
4,1.0,98006,3190,1216.0
3,2.0,98034,1630,422.12
5,2.0,98011,2990,625.0
4,1.5,98126,1550,385.2
3,2.0,98029,1690,500.0
4,2.0,98042,1960,308.0
3,1.0,98006,2390,565.0
3,2.0,98053,2600,581.0
3,1.0,98042,1950,361.0
3,1.0,98008,1250,345.0
2,2.0,98122,1180,419.0
3,2.0,98056,1680,347.0
4,2.0,98075,2220,625.0
4,2.0,98040,4890,2400.0
3,2.5,98010,2660,379.0
3,2.0,98029,1150,310.0
2,1.0,98030,1130,250.0
5,2.0,98059,2760,682.0
3,1.0,98022,1430,246.5
3,1.5,98092,1490,325.0
4,2.0,98031,2030,310.95
3,2.0,98199,3010,1100.0
3,1.0,98133,1810,287.5
3,1.0,98133,1810,431.0
3,1.0,98118,970,226.0
3,1.5,98103,2010,825.0
4,1.5,98168,1300,175.0
3,1.0,98008,1260,465.75
4,2.0,98075,2610,659.0
3,1.0,98115,1910,595.0
3,2.0,98058,1780,350.0
4,1.0,98023,1900,270.0
6,1.0,98008,2450,662.5
3,1.0,98001,1380,249.9
3,1.0,98023,1920,324.5
2,1.0,98053,1350,430.0
2,1.0,98053,1350,419.95
4,1.0,98032,2510,285.0
4,2.0,98092,2470,332.0
4,1.0,98168,1660,282.0
3,1.0,98133,1340,320.0
3,1.5,98006,1620,428.75
3,2.0,98022,2300,330.0
4,3.0,98177,2000,456.5
3,1.0,98059,1640,352.0
4,1.5,98105,1530,664.0
3,1.0,98011,4000,628.0
3,1.0,98052,1610,512.0
3,1.0,98023,2070,254.0
4,2.0,98029,1900,535.8
3,1.0,98038,1050,287.653
3,2.0,98136,1520,438.0
4,1.0,98028,2390,450.0
5,2.0,98092,2400,327.0
4,2.0,98059,1790,370.5
3,2.0,98038,1720,265.0
4,1.0,98056,2980,450.0
3,1.5,98027,1520,425.0
3,1.0,98042,1150,166.6
1,1.0,98168,380,245.0
3,1.0,98115,910,565.0
3,1.0,98033,1650,539.9
3,2.0,98144,2480,910.0
4,2.0,98092,2050,280.0
3,2.0,98038,1420,275.0
3,2.0,98056,3460,467.0
3,2.0,98029,1500,457.5
2,1.0,98118,1320,381.156
5,1.0,98092,2180,289.999
3,1.0,98144,1830,642.45
